nombre_variable,tipo_dato,pct_faltantes,n_categorias_unicas,fuente,descripcion,disponibilidad_temporal,limitaciones
anio_saber11,numeric,0,,,,,
anio_saberpro,numeric,0,,,,,
archivo_origen_saber11,character,0,22,,,,
archivo_origen_saberpro,character,0,11,,,,
cole_cod_dane_establecimiento_saber11,character,0,10759,,,,
cole_cod_dane_establecimiento_saberpro,character,54.61,10513,,,,
cole_jornada,character,0,7,,,,
cole_naturaleza,character,0,2,,,,
cole_nombre_establecimiento_saber11,character,0,12033,,,,
cole_nombre_establecimiento_saberpro,character,74.74,16819,,,,
estu_cod_mcpio_presentacion_saber11,character,77.53,454,,,,
estu_cod_mcpio_presentacion_saberpro,character,0,182,,,,
estu_cod_reside_depto_saber11,character,0,35,,,,
estu_cod_reside_depto_saberpro,character,72.86,36,,,,
estu_cod_reside_mcpio_saber11,character,0,1112,,,,
estu_cod_reside_mcpio_saberpro,character,72.86,1073,,,,
estu_consecutivo_sb11,character,0,682324,,,,
estu_consecutivo_sbpro,character,0,682324,,,,
estu_depto_reside_saber11,character,0,36,,,,
estu_depto_reside_saberpro,character,20.52,55,,,,
estu_fechanacimiento_saber11,IDate,0,,,,,
estu_fechanacimiento_saberpro,IDate,0,,,,,
estu_genero_saber11,character,0,3,,,,
estu_genero_saberpro,character,0,3,,,,
estu_inst_codmunicipio,character,0,140,,,,
estu_inst_departamento,character,0,35,,,,
estu_inst_municipio,character,0,145,,,,
estu_mcpio_presentacion_saber11,character,0,655,,,,
estu_mcpio_presentacion_saberpro,character,0,181,,,,
estu_mcpio_reside_saber11,character,0.02,1406,,,,
estu_mcpio_reside_saberpro,character,20.63,1041,,,,
estu_nivel_prgm_academico,character,0,5,,,,
estu_prgm_academico,character,0,1378,,,,
estu_snies_prgmacademico,character,0,5188,,,,
estu_tipocarreradeseada,character,98.57,6,,,,
estu_tipodocumento_saber11,character,0,14,,,,
estu_tipodocumento_saberpro,character,0,8,,,,
estu_tipodocumentosb11_motivo_na,character,77.64,2,,,,
estu_trabaja_actualmente_saber11,character,98.57,5,,,,
estu_trabaja_actualmente_saberpro,character,99.45,6,,,,
fami_estratovivienda_saber11,character,1.76,7,,,,
fami_estratovivienda_saberpro,character,4.01,8,,,,
fami_ingreso_familiar_mensual_saber11,character,98.57,9,,,,
fami_ingreso_familiar_mensual_saberpro,character,99.45,9,,,,
fami_nivelsisben_saber11,character,98.57,7,,,,
fami_nivelsisben_saberpro,character,99.45,7,,,,
inst_cod_institucion,character,0,408,,,,
inst_nombre_institucion,character,0,449,,,,
inst_origen,character,0,7,,,,
percentil_global_motivo_na,character,56.61,3,,,,
percentil_global_saber11,integer,43.39,,,,,
percentil_global_saberpro,integer,0.61,,,,,
periodo_saber11,integer,0,,,,,
periodo_saberpro,integer,0,,,,,
punt_c_naturales,integer,0,,,,,
punt_comuni_escrita,numeric,0.09,,,,,
punt_global_saber11,integer,1.43,,,,,
punt_global_saberpro,integer,0.55,,,,,
punt_ingles_saber11,integer,0.03,,,,,
punt_ingles_saberpro,numeric,0.03,,,,,
punt_lectura_critica_saber11,integer,0,,,,,
punt_lectura_critica_saberpro,numeric,0,,,,,
punt_matematicas_saber11,integer,0,,,,,
punt_matematicas_saberpro,numeric,0,,,,,
punt_sociales_ciudadanas_saber11,integer,0,,,,,
punt_sociales_ciudadanas_saberpro,numeric,0,,,,,
puntaje_escala_comparable,logical,0,,,,,
rezago_anios,numeric,0,,,,,
rezago_implausible,logical,0,,,,,
vinculacion_ambigua,logical,0,,,,,
